Investment ID;Name;Project Id
628;400kV OHL B.Basta-Obrenovac;227
630;400kV interconnection RS-ME;227
631;400kV SS B.Basta upgrade;227
1526;400 kV OHL Lastva - Pljevlja;227
1527;400 kV OHL Kragujevac-Kraljevo;227
1528;Upgrade of SS Kraljevo;227
1231;Muhlbach Eichstetten;228
1270;Baczyna-Zielona Góra;229
1271;Zielona Góra - Plewiska;229
1272;Zielona Góra;229
1273;Zielona Góra-Gubin;229
1274;Gubin;229
1275;Eisenhuettenstadt;229
353;Krajnik-Baczyna;230
355;Mikułowa - Świebodzice;230
1035;Baczyna;230
1232;Plewiska;230
1282;380 kV Grid Reinforcement Beznau - Tiengen;231
1457;Additional measures;231
1235;Conceptual project ;233
1236;DKE-PL-1;234
664;HVDC Line C;235
608;HTLS upgrade Horta-Mercator;236
1241;Fenno-Skan 1 renewal;239
1460;AC Enhancement Güstrow-Wolmirstedt;240
1276;Upgrading of existing  220 kV line between SS Dakovo (HR) and TPP Tuzla (BA) to 400 kV line;241
1277;Upgrading of existing  220 kV line between SS Dakovo (HR) and Gradacac (BA) to 400 kV line;241
1278;Upgrading existing 220 kV SS Dakovo to 400 kV;241
1279;New double 400 kV line between SS Dakovo and location Razbojiste;241
1530;Upgrading of existing  220 kV line between SS Gradacac (BA) and TPP Tuzla (BA) to 400 kV line;241
1531;Upgrading existing 220 kV SS Gradacac (BA) to 400 kV;241
194;Offshore Connection Cluster 1;242
1269;New 400 kV overhead line Sombor (RS) - Ernestinovo (HR);243
1245;Vigy - Uchtelfangen (or beyond);244
1514;Power flow control between Vigy - Uchtelfangen;244
1246;Upgrade Meeden - Diele;245
1381;AQUIND Interconnector;247
1248;AC Offshore Connection Cluster 1, 2,4;248
1613;DC Offshore Connection Cluster 1, 2, 4;248
1627;Offshore Connection Cluster 6;248
1384;"""Merchant line """"Castasegna (CH) - Mese (IT)""""""";250
147;Dollern - Hamburg/Nord;251
148;Audorf - Hamburg/Nord;251
1050;HTLS upgrade VanEyck-Gramme;252
1456;Massenhoven - Van Eyck: HTLS upgrade;252
1515;Gramme - Courcelles: HTLS upgrade;252
1516;Bruegel - Courcelles: HTLS upgrade;252
1517;Mercator - Bruegel: HTLS upgrade;252
1224;Uprate of Creys-St Vulbas;253
1225;PST in Cornier;253
660;HVDC Line A South - Ultranet;254
1251;New line 400 kV Muruarte-Ichaso;255
1455;New line 400 kV Castejon-Ichaso;255
1252;Long term upgrade interconnection DE-NL;256
1529;Upgrade interconnection DE-NL;256
667;Brunsbttel - Klixbüll;258
1205;HU-RO;259
1255;Interconnector GB-NL;260
1257;Belgium-Netherlands: Zandvliet-Rilland;262
1258;Rüthi - Bonaduz/Mettlen;263
1583;Vorarlberg;263
1259;Beznau - Mettlen;264
1284;Pradella - La Punt;264
1287;Bassecourt - Mühleberg;264
1288;Mettlen - Ulrichen;264
1290;Magadino - Ulrichen;265
1261;Bickigen - Chippis - Chamoson;266
1285;Magadino;266
1286;Chippis - Lavorgo;266
1262;Hansa PowerBridge II;267
1228;Uprate D.Rodrigo-Aljarafe;269
1229;Uprate Aljarafe-Santiponce;269
1211;HVDC Aragon region -Marsillon;270
