Investment ID;Name;Project Id;ExpectedCommissioningYear
742;Pyhanselka-Petajavesi;197;2022
1051;Cornier - La Bâtiaz;199;2035
306;R Vitkov;200;2023
308;Vernerov-Vitkov;200;2025
309;Vitkov-Prestice;200;2023
312;R Mirovka;200;2026
314;Mirkovka-V413;200;2019
538;Morella-La Plana;203;2020
682;Großgartach - Endersbach;206;2025
687;Redwitz - Schwandorf;206;2023
688;Raitersaich-Altheim;206;2026
990;Grafenrheinfeld - Großgartach;206;2022
676;Dollern - Elsfleth/West;207;2026
939;Conneforde - Emden;207;2021
940;Emden - Halbemond;207;2022
150;Conneforde-Wilhelmshaven;208;2020
151;Ganderkesee - Wehrendorf;208;2021
156;Niederrhein-Dörpen;208;2021
935;Kreis Segeberg - Siems;209;2022
1380;Wurmlach (AT) - Somplago (IT) interconnection;210;2021
1082;Interco Iceland-UK;214;2030
1407;EuroAsia Interconnector;219;2020
1409;EuroAsia Interconnector;219;2021
1410;EuroAsia Interconnector;219;2020
1107;2nd interconnecter between Belgium and Germany;225;2028
627;400kV interconnection RS-BA;227;2024
628;400kV OHL B.Basta-Obrenovac;227;2024
630;400kV interconnection RS-ME;227;2024
631;400kV SS B.Basta upgrade;227;2024
1526;400 kV OHL Lastva - Pljevlja;227;2019
1527;400 kV OHL Kragujevac-Kraljevo;227;2020
1528;Upgrade of SS Kraljevo;227;2020
1231;Muhlbach Eichstetten;228;2025
1270;Baczyna-Zielona Góra;229;2030
1271;Zielona Góra - Plewiska;229;2030
1272;Zielona Góra;229;2030
1273;Zielona Góra-Gubin;229;2030
1274;Gubin;229;2030
1275;Eisenhuettenstadt;229;2030
353;Krajnik-Baczyna;230;2021
355;Mikułowa - Świebodzice;230;2023
1035;Baczyna;230;2020
1232;Plewiska;230;2024
1282;380 kV Grid Reinforcement Beznau - Tiengen;231;2030
1457;Additional measures;231;2035
1235;Conceptual project ;233;2027
1236;DKE-PL-1;234;2030
664;HVDC Line C;235;2025
608;HTLS upgrade Horta-Mercator;236;2020
1241;Fenno-Skan 1 renewal;239;2029
1460;AC Enhancement Güstrow-Wolmirstedt;240;2021
1276;Upgrading of existing  220 kV line between SS Dakovo (HR) and TPP Tuzla (BA) to 400 kV line;241;2033
1277;Upgrading of existing  220 kV line between SS Dakovo (HR) and Gradacac (BA) to 400 kV line;241;2033
1278;Upgrading existing 220 kV SS Dakovo to 400 kV;241;2033
1279;New double 400 kV line between SS Dakovo and location Razbojiste;241;2033
1530;Upgrading of existing  220 kV line between SS Gradacac (BA) and TPP Tuzla (BA) to 400 kV line;241;2032
1531;Upgrading existing 220 kV SS Gradacac (BA) to 400 kV;241;2032
194;Offshore Connection Cluster 1;242;2019
1269;New 400 kV overhead line Sombor (RS) - Ernestinovo (HR);243;2035
1245;Vigy - Uchtelfangen (or beyond);244;2027
1514;Power flow control between Vigy - Uchtelfangen;244;2027
1246;Upgrade Meeden - Diele;245;2019
1381;AQUIND Interconnector;247;2022
1248;AC Offshore Connection Cluster 1, 2,4;248;2022
1613;DC Offshore Connection Cluster 1, 2, 4;248;2027
1627;Offshore Connection Cluster 6;248;2029
1384;"""Merchant line """"Castasegna (CH) - Mese (IT)""""""";250;2021
147;Dollern - Hamburg/Nord;251;2018
148;Audorf - Hamburg/Nord;251;2017
1050;HTLS upgrade VanEyck-Gramme;252;2030
1456;Massenhoven - Van Eyck: HTLS upgrade;252;2024
1515;Gramme - Courcelles: HTLS upgrade;252;2033
1516;Bruegel - Courcelles: HTLS upgrade;252;2035
1517;Mercator - Bruegel: HTLS upgrade;252;2025
1224;Uprate of Creys-St Vulbas;253;2031
1225;PST in Cornier;253;2031
660;HVDC Line A South - Ultranet;254;2022
1251;New line 400 kV Muruarte-Ichaso;255;2023
1455;New line 400 kV Castejon-Ichaso;255;2023
1252;Long term upgrade interconnection DE-NL;256;2040
1529;Upgrade interconnection DE-NL;256;2035
667;Brunsbttel - Klixbüll;258;2019
1205;HU-RO;259;2030
1255;Interconnector GB-NL;260;2030
1257;Belgium-Netherlands: Zandvliet-Rilland;262;2022
1258;Rüthi - Bonaduz/Mettlen;263;2035
1583;Vorarlberg;263;2035
1259;Beznau - Mettlen;264;2025
1284;Pradella - La Punt;264;2021
1287;Bassecourt - Mühleberg;264;2025
1288;Mettlen - Ulrichen;264;2030
1290;Magadino - Ulrichen;265;2035
1261;Bickigen - Chippis - Chamoson;266;2021
1285;Magadino;266;2024
1286;Chippis - Lavorgo;266;2024
1262;Hansa PowerBridge II;267;2030
1228;Uprate D.Rodrigo-Aljarafe;269;2019
1229;Uprate Aljarafe-Santiponce;269;2019
1211;HVDC Aragon region -Marsillon;270;2026
1212;New axis Ejea-Aragon region 400 kV;270;2026
1214;Ejea de los Caballeros subestation ;270;2025
1215;Aragon region subestation;270;2025
1264;Investments to be created;271;0
1206;HVDC Pamplona area  -Cantegrit  ;276;2026
1207;Upgrade Cantegrit-Saucats;276;2026
1208;Upgrade Cantegrit-Marsillon ;276;2026
1210;New substation Pamplona area;276;2026
1008;Study Lonny-Achene-Gramme;280;2025
1378;TuNur DC;283;2025
1430;TuNur AC;283;2025
1619;LEG1;284;2021
1383;GridLink;285;2022
1385;Greenlink;286;2023
1637;New investment;286;0
1431;Southern Aegean Interconnector;293;2024
1432;Southern Aegean Interconnector;293;2026
1433;Southern Aegean Interconnector;293;2025
1434;Southern Aegean Interconnector;293;2024
1435;Southern Aegean Interconnector;293;2025
1436;Southern Aegean Interconnector;293;2025
1356;Maali;294;2025
445;BRABO II: Zandvliet - Lillo - Liefkenshoek;297;2021
604;BRABO III: Liefkenshoek - Mercator;297;2023
605;BRABO II: Lillo 380;297;2019
1458;SACOI3;299;2023
1628;NeuConnect Interconnector;309;2022
1472;St. Peter - Tauern (AT internal);312;2022
1473;Isar/Altheim/Ottenhofen - St. Peter;313;2021
1617;Upgrade of 220 kV line Divaca-Bericevo to 400 kV;316;2030
1615;Upgrade of internal 220 kV line Podlog-Bericevo to 400 kV;317;2035
1614;Upgrade of 220 kV line Podlog-Cirkovce to 400 kV;318;2035
1558;Double 400 kV OHL Cirkovce(SI)-Heviz(HU)/Zerjavinec(HR);320;2018
1475;Herbertingen - Tiengen;321;2025
1476;Wullenstetten - Border Area (DE-AT);322;2020
1477;Herbertingen - Neuravensburg;322;2030
1478;Dekani (SI) - Zaule (IT) interconnection;323;2020
1482;Redipuglia (IT) - Vrtojba (SI) Interconnection;324;2020
1483;Upgrade Obersielach (AT) - Podlog (SI);325;2035
1631;Lienz - Italy (AT - IT);325;2035
1636;Lienz - Obersielach;325;2026
1620;Substation Aach;328;2025
1629;Substation Bofferdange;328;2025
1630;AC Overhead Line Aach-Bofferdange;328;2026
1518;Stevin-Izegem/Avelgem: new corridor;329;2028
1498;New CZ-SK 400 kV interconnector;330;2035
1499;New 400 kV substation Ladce;330;2027
1496;PST Foretaille;333;2031
1504;Power Link Island;335;2035
1505;Interconnection DKw to Power Link Island;335;2035
1506;Interconnection NL Maasvlakte to Power Link Island;335;2035
1507;Interconnection NL Eemshaven to Power Link Island;335;2035
1508;Interconnection DE (area of Brunsbüttel) to Power Link Island;335;2035
1509;Interconnection DE (area of Oldenburg) to Power Link Island;335;2035
1511;Interconnection DE (area of Krümmel) to Power Link Island;335;2035
1556;Prati (IT) – Steinach (AT);336;2019
1510;Cloppenburg East - Merzen;337;2023
