Investment ID;From;To;Tso In Charge From;Tso In Charge To
1511;German substation located in the area of Krümmel;Power Link Island DE3;TenneT-DE;TenneT-DE
1556;Prati di Vizze (IT);Steinach (AT);TERNA;TINETZ
1510;Cloppenburg East (DE);Merzen (DE);TenneT-DE;Amprion
1512;Conneforde (DE);Cloppenburg (DE);TenneT-DE;TenneT-DE
1521;Villanova;Fano;Terna;Terna
1557;SARDINIA REGION;SICILY REGION - CENTRAL SOUTH OF ITALY;TERNA;TERNA
1519;Avelgem;Center (TBD);ELIA;ELIA
1536;Portile de Fier;Djerdap;Transelectrica;EMS
1537;Belgrade West;Belgrade West;EMS;EMS
1538;WPP Cibuk;Belgrade West;EMS;EMS
1520;SS Sofia West;SS Nis 2;ESO;EMS
1522;SS Nis 2;SS Krusevac 1;EMS;EMS
1523;SS Krusevac 1;SS Krusevac 1;EMS;EMS
1524;SS Krusevac 1;SS Kraljevo 3;EMS;EMS
1525;EMS;EMS;EMS;EMS
1532;Banja Luka (BA);Lika (HR);NOS BIH;HOPS
1533;Lika (HR);Melina (HR);HOPS;HOPS
1534;Lika (HR);Konjsko (HR);HOPS;HOPS
1535;Lika (HR);Lika (HR);HOPS;HOPS
1541;Zwolle;Dodewaard;TENNET-NL;TENNET-NL
1542;tbd;tbd;TENNET-NL;TENNET-NL
1543;Borssele;Rilland;TENNET-NL;TENNET-NL
1544;Rilland;Tilburg;TENNET-NL;TENNET-NL
1545;Krimpen;Geertruidenberg;TENNET-NL;TENNET-NL
1546;Eemshaven Oude Schip;Vierverlaten;TENNET-NL;TENNET-NL
1622;Bitola;Elbasan;MEPSO;OST
1623;NULL;NULL;MEPSO;NULL
1547;Peterhead (GB);Hawthorn Pit (GB);SHETL;NGET
1555;Lienz (AT);Veneto region (IT);APG;TERNA
1559;Bitola (MK);Meliti (GR);MEPSO;IPTO
1561;VanEyck;Maasbracht;Elia;TENNET-NL
1584;Gatica 400;Gatica 220;REE;REE
1593;Gatica;Guenes;REE;REE
1595;Gatica;Ichaso;REE;REE
1597;Gatica;Azpeitia;REE;REE
